Ticker,Bond_ID,CF,Year
FVZ2023,US91282CJA09,0.9438,2023
TUH2023,US91282CED92,0.921,2023
TUM2023,US91282CEU18,0.9419,2023
TUU2023,US91282CFK27,0.9535,2023
TUZ2023,US91282CGA36,0.9628,2023
TYH2023,US91282CDJ71,0.6955,2023
TYM2023,US91282CDY49,0.7284,2023
TYU2023,US91282CHF14,0.8804,2023
TYZ2023,US91282CHW47,0.9003,2023
FVH2023,US91282CGH88,0.8964,2023
FVM2023,US91282CHA27,0.8964,2023
FVU2023,US91282CHQ78,0.9223,2023
FVZ2023,US91282CJF95,0.9533,2023
TUH2023,US91282CGD74,0.9713,2023
TUM2023,US91282CGU99,0.9651,2023
TUU2023,US91282CHL81,0.9774,2023
TUZ2023,US91282CJB81,0.9835,2023
TYH2023,US91282CDY49,0.7223,2023
TYM2023,US91282CEP23,0.7896,2023
TYU2023,US91282CHJ36,0.8765,2023
TYZ2023,US91282CHZ77,0.9245,2023
FVH2023,US91282CGP05,0.9159,2023
FVM2023,US91282CHE49,0.9001,2023
FVU2023,US91282CHX20,0.9316,2023
FVZ2023,US91282CJN20,0.9316,2023
TUH2023,US91282CGG06,0.9678,2023
TUM2023,US91282CGX39,0.9636,2023
TUU2023,US91282CHN48,0.9785,2023
TUZ2023,US91282CJE21,0.9828,2023
TYH2023,US91282CEP23,0.7851,2023
TYM2023,US91282CFF32,0.7765,2023
TYU2023,US91282CHR51,0.8902,2023
TYZ2023,US91282CJG78,0.9382,2023
FVH2023,US91282CGT27,0.8987,2023
FVM2023,US91282CHK09,0.9147,2023
FVZ2023,US91282CJR34,0.904,2023
TUH2023,US91282CGN56,0.9754,2023
TUM2023,US91282CHD65,0.9687,2023
TUU2023,US91282CHV63,0.9821,2023
TUZ2023,US91282CJL63,0.9799,2023
TYH2023,US91282CFF32,0.7718,2023
TYM2023,US91282CFV81,0.8683,2023
TYU2023,US91282CHW47,0.8971,2023
TYZ2023,US91282CJM47,0.9108,2023
TUH2023,US91282CGU99,0.9605,2023
